no,added_date,added_at,title,artist,genre,country,release_year,bpm,key,hook_type,hook_location,hook_cue,lyric_theme,producer_takeaway,data_confidence,chart_source,source_type,youtube_url
27,2026.6.27,2026-06-27T22:04:09,Taste,Sabrina Carpenter,Pop Rock,US,2024,112,C# minor,title phrase + melodic/rhythmic hook,"chorus, post-chorus, or title-tag area depending on arrangement",short title cue: Taste,"relationship, identity, desire, confidence, or emotional contrast built around a short title cue","Extract the principle: short title handle, clear rhythmic placement, and controlled arrangement lift, then write all melody and lyric material new.",medium-low,Billboard Hot 100,github_actions_cloud_reference,https://www.youtube.com/results?search_query=Sabrina+Carpenter+Taste+official
28,2026.6.27,2026-06-27T22:04:09,Birds of a Feather,Billie Eilish,Alt Pop,US,2024,104,D major,title phrase + melodic/rhythmic hook,"chorus, post-chorus, or title-tag area depending on arrangement",short title cue: Birds of a Feather,"relationship, identity, desire, confidence, or emotional contrast built around a short title cue","Extract the principle: short title handle, clear rhythmic placement, and controlled arrangement lift, then write all melody and lyric material new.",medium-low,Billboard Hot 100,github_actions_cloud_reference,https://www.youtube.com/results?search_query=Billie+Eilish+Birds+of+a+Feather+official
29,2026.6.27,2026-06-27T22:04:09,What Was I Made For?,Billie Eilish,Piano Ballad,US,2023,78,C major,lyric statement + vocal melody hook,"chorus, post-chorus, or title-tag area depending on arrangement",short title cue: What Was I Made For?,"intimate memory, vulnerability, recovery, or one emotional sentence expanded through the chorus","Start with restraint, reserve the largest emotional width for the final chorus, and write a new central sentence rather than borrowing lyric shape.",medium-low,Billboard Hot 100,github_actions_cloud_reference,https://www.youtube.com/results?search_query=Billie+Eilish+What+Was+I+Made+For%3F+official
30,2026.6.27,2026-06-27T22:04:09,Houdini,Dua Lipa,Dance Pop,UK,2023,117,F# minor,groove loop + title phrase hook,"chorus, post-chorus, or title-tag area depending on arrangement",short title cue: Houdini,"movement, desire, release, nightlife, or confidence distilled into a loop-friendly title phrase","Create a fresh groove cell and title rhythm; change the motif, lyric angle, and topline completely.",medium-low,Billboard Hot 100,github_actions_cloud_reference,https://www.youtube.com/results?search_query=Dua+Lipa+Houdini+official
31,2026.6.27,2026-06-27T22:07:18,Shivers,Ed Sheeran,Pop,UK,2021,141,D major,title phrase + melodic/rhythmic hook,"chorus, post-chorus, or title-tag area depending on arrangement",short title cue: Shivers,"relationship, identity, desire, confidence, or emotional contrast built around a short title cue","Extract the principle: short title handle, clear rhythmic placement, and controlled arrangement lift, then write all melody and lyric material new.",medium-low,Billboard Hot 100,github_actions_cloud_reference,https://www.youtube.com/results?search_query=Ed+Sheeran+Shivers+official
32,2026.6.27,2026-06-27T22:07:18,Snooze,SZA,R&B,US,2022,143,F major,title phrase + melodic/rhythmic hook,"chorus, post-chorus, or title-tag area depending on arrangement",short title cue: Snooze,"relationship, identity, desire, confidence, or emotional contrast built around a short title cue","Extract the principle: short title handle, clear rhythmic placement, and controlled arrangement lift, then write all melody and lyric material new.",medium-low,Billboard Hot 100,github_actions_cloud_reference,https://www.youtube.com/results?search_query=SZA+Snooze+official
33,2026.6.27,2026-06-27T22:07:18,Agora Hills,Doja Cat,Rap Pop,US,2023,123,A minor,rhythmic phrase + beat-pocket hook,"chorus, post-chorus, or title-tag area depending on arrangement",short title cue: Agora Hills,"status, conflict, confidence, place identity, or direct-response energy compressed into a memorable phrase","Design a new rhythmic catchphrase and beat pocket; keep the reference as market signal only, not a cadence or line source.",medium-low,Billboard Hot 100,github_actions_cloud_reference,https://www.youtube.com/results?search_query=Doja+Cat+Agora+Hills+official
34,2026.6.27,2026-06-27T22:07:18,Unholy,Sam Smith & Kim Petras,Electropop,UK/DE,2022,131,F# major,title phrase + melodic/rhythmic hook,"chorus, post-chorus, or title-tag area depending on arrangement",short title cue: Unholy,"relationship, identity, desire, confidence, or emotional contrast built around a short title cue","Extract the principle: short title handle, clear rhythmic placement, and controlled arrangement lift, then write all melody and lyric material new.",medium-low,Billboard Hot 100,github_actions_cloud_reference,https://www.youtube.com/results?search_query=Sam+Smith+%26+Kim+Petras+Unholy+official
35,2026.6.27,2026-06-27T22:07:18,Lovin On Me,Jack Harlow,Rap Pop,US,2023,105,C# minor,rhythmic phrase + beat-pocket hook,"chorus, post-chorus, or title-tag area depending on arrangement",short title cue: Lovin On Me,"status, conflict, confidence, place identity, or direct-response energy compressed into a memorable phrase","Design a new rhythmic catchphrase and beat pocket; keep the reference as market signal only, not a cadence or line source.",medium-low,Billboard Hot 100,github_actions_cloud_reference,https://www.youtube.com/results?search_query=Jack+Harlow+Lovin+On+Me+official
36,2026.6.27,2026-06-27T22:07:18,First Class,Jack Harlow,Rap Pop,US,2022,107,F# minor,rhythmic phrase + beat-pocket hook,"chorus, post-chorus, or title-tag area depending on arrangement",short title cue: First Class,"status, conflict, confidence, place identity, or direct-response energy compressed into a memorable phrase","Design a new rhythmic catchphrase and beat pocket; keep the reference as market signal only, not a cadence or line source.",medium-low,Billboard Hot 100,github_actions_cloud_reference,https://www.youtube.com/results?search_query=Jack+Harlow+First+Class+official
37,2026.6.27,2026-06-27T22:07:18,I Had Some Help,Post Malone feat. Morgan Wallen,Country Pop,US,2024,128,G major,title image + chorus singalong hook,"chorus, post-chorus, or title-tag area depending on arrangement",short title cue: I Had Some Help,"place, memory, everyday detail, heartbreak, or resilience framed as a singable title image",Use one vivid new image as the title and let the chorus turn that image into a broader emotional statement.,medium-low,Billboard Hot 100,github_actions_cloud_reference,https://www.youtube.com/results?search_query=Post+Malone+feat.+Morgan+Wallen+I+Had+Some+Help+official
38,2026.6.27,2026-06-27T22:07:18,Last Night,Morgan Wallen,Country Pop,US,2023,102,F# major,title image + chorus singalong hook,"chorus, post-chorus, or title-tag area depending on arrangement",short title cue: Last Night,"place, memory, everyday detail, heartbreak, or resilience framed as a singable title image",Use one vivid new image as the title and let the chorus turn that image into a broader emotional statement.,medium-low,Billboard Hot 100,github_actions_cloud_reference,https://www.youtube.com/results?search_query=Morgan+Wallen+Last+Night+official
39,2026.6.27,2026-06-27T22:07:18,A Bar Song (Tipsy),Shaboozey,Country Pop,US,2024,81,F# major,lyric statement + vocal melody hook,"chorus, post-chorus, or title-tag area depending on arrangement",short title cue: A Bar Song (Tipsy),"intimate memory, vulnerability, recovery, or one emotional sentence expanded through the chorus","Start with restraint, reserve the largest emotional width for the final chorus, and write a new central sentence rather than borrowing lyric shape.",medium-low,Billboard Hot 100,github_actions_cloud_reference,https://www.youtube.com/results?search_query=Shaboozey+A+Bar+Song+%28Tipsy%29+official
40,2026.6.27,2026-06-27T22:07:18,Not Like Us,Kendrick Lamar,Hip-Hop,US,2024,101,B minor,rhythmic phrase + beat-pocket hook,"chorus, post-chorus, or title-tag area depending on arrangement",short title cue: Not Like Us,"status, conflict, confidence, place identity, or direct-response energy compressed into a memorable phrase","Design a new rhythmic catchphrase and beat pocket; keep the reference as market signal only, not a cadence or line source.",medium-low,Billboard Hot 100,github_actions_cloud_reference,https://www.youtube.com/results?search_query=Kendrick+Lamar+Not+Like+Us+official
